state_id,state_name,number_of_deaths_among_cancer_patients_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
State ID,State Name,Number of deaths among cancer patients (2003-07),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Alabama,4393,32.0753643846239,30.4179234246411,33.8231175759013,61.7105798859575,59.385793922591,64.1263746482046,5.19253095475355,5.00738846956531,5.37767343994179,22.9803514298504,21.5903848905877,24.4598025702474,1.17287467503912,1.07069373751482,1.27505561256341,8.28591049977951,7.48099423862449,9.1774315846793,6.5279836551285,5.80348968359818,7.34292174621454,58.0575766544145,55.7864039462097,60.4212132087469,10.78546923237,10.4435243580378,11.1274141067021,5.44069959576531,4.77820251933941,6.19505179438338,36.8253585686289,35.0499967311664,38.6906465101675
2,Alaska,313,32.4556998866712,26.7230359005544,39.4181431725657,58.0895931862972,50.2857980281353,67.1044503392688,4.76326436069691,4.08343782430067,5.44309089709314,17.8565113036268,13.7383617941883,23.2090987785339,0.724881506210739,0.349682303433239,1.10008070898824,,,,4.75516152992638,2.91147860086534,7.76634977463728,24.4022462314124,19.5152577947928,30.5130286978514,4.62633374930735,3.3707429576025,5.8819245410122,3.70639773258766,2.10420408214265,6.52854172687592,26.2904197712555,21.0537248439271,32.8296383121106
3,Arizona,3131,19.1286770990061,17.6395237660219,20.743546844664,59.0029094012157,56.3455305122723,61.7856161111095,4.46080827453305,4.24322059621024,4.67839595285587,28.4737586684029,26.6274821604059,30.448050920564,1.31428527634071,1.19419769653883,1.43437285614259,9.18973443867563,8.14618418470702,10.3669665623228,5.50079561137309,4.73930944418693,6.38463318642671,70.1267024190545,67.2167624823406,73.1626191229105,11.5410142875428,11.139145471508,11.9428831035775,11.8120355873596,10.6596036858452,13.089059296109,49.2387572089156,46.7614797086936,51.8472731526457
4,Arkansas,3062,30.8448579208119,28.920689802215,32.8970459094031,62.8274707454917,60.0497978104037,65.7336281587236,5.31781902260735,5.09771996954195,5.53791807567275,21.3975104894884,19.8080456917156,23.1145193359109,0.92068873422067,0.799215115847407,1.04216235259393,8.49742247155004,7.51800120792227,9.60443961939173,6.96237406349349,6.08744671160783,7.9630516530967,51.382033233717,48.8674528089676,54.0260068301803,9.11202675974041,8.70551961490781,9.518533904573,6.52032492672846,5.66609481825731,7.50334022175656,32.937020230415,30.9331356021613,35.0707188437428
5,California,16178,33.6142878044455,32.6561217388268,34.6005675026825,63.3621696957277,62.0674919111783,64.6838534138858,5.43593254682728,5.33538295893505,5.5364821347195,31.1297454183855,30.19826605168,32.0899566933772,1.70665555958019,1.65116180757582,1.76214931158455,11.8494327148563,11.2715398297912,12.4569542213567,6.13524361057436,5.7355037695469,6.56284359204024,47.0087671541353,45.9134574948664,48.130206478107,7.42997527299003,7.24426740501474,7.61568314096533,7.69379666532914,7.25457191205761,8.15961408130014,44.4375287604266,43.3277565949184,45.5757259900536
6,Colorado,1995,19.1131120419648,17.2640547157613,21.1602116619327,57.6511704476408,54.3936134563497,61.1038179445485,3.95402922469284,3.68300990102821,4.22504854835748,19.0385544024822,17.1874455697273,21.0890299123156,0.732039241368009,0.582462505638767,0.881615977097251,6.61397599429373,5.53702977937393,7.90038706601284,6.34660201029868,5.32539085512925,7.5636433405318,66.8163633959755,63.313822112054,70.5126664057942,11.3155212044522,10.8149679766078,11.8160744322966,10.7964694447795,9.44453400376373,12.3419273439648,40.4474858863746,37.6724631318459,43.4269219085254
7,Connecticut,3835,33.3052245643249,31.4733211016948,35.2437538986115,63.4934251646322,60.9748349194822,66.1160467996389,5.56956096433526,5.37250211599265,5.76661981267786,20.1821331732803,18.7746224639025,21.6951632559942,0.841671933828759,0.73291430399229,0.950429563665228,9.62693520756005,8.64615984158296,10.7189646257559,6.62830162547093,5.83112202306037,7.53446459608854,47.7748138890966,45.6183522494767,50.033215352797,6.98956409865208,6.62561055733473,7.35351763996943,9.65204226818645,8.70324427864006,10.704274976574,53.5766412884248,51.2302272121948,56.0305243203228
8,Delaware,869,26.2817314808784,23.0698833859392,29.940741271973,55.2616370625404,50.4921175609648,60.4816885951493,4.83730009228672,4.42800982285104,5.24659036172241,21.1841035893141,18.3299657550157,24.4826559351314,1.08587813573379,0.859989067603406,1.31176720386418,10.5962739551842,8.63720041976008,12.9997008609919,5.27027132122109,3.93038218066043,7.06693612034906,62.0471857084153,56.9879747893265,67.5555372614441,10.8969480089877,10.141018274085,11.6528777438905,7.11784652025724,5.53311705704123,9.15645531508599,53.3913341725535,48.7943534949283,58.4214024891543
9,District of Columbia,414,35.4981337289868,30.3352221309975,41.5397485075082,63.7596859406341,56.5357467392541,71.9066747273661,6.63946128077381,6.04550958040447,7.23341298114315,24.8336500147868,20.5740659192798,29.9751238027776,1.27781718671924,0.95001267698614,1.60562169645233,11.9488887900472,9.36427724142845,15.2468727308993,4.53273082068898,2.72743704018528,7.53295067497801,48.4159134753486,41.9533152694555,55.8740271798993,7.63780450923245,6.54081837265933,8.73479064580556,9.9065405733139,7.06430577188676,13.8923128895797,55.7377973630401,49.0338411359535,63.3583252486693
