state_id,state_name,number_of_deaths_among_cancer_patients_2012,percent_of_cancer_patients_dying_in_hospital_2012,percent_of_cancer_patients_dying_in_hospital_2012_2,percent_of_cancer_patients_dying_in_hospital_2012_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_3
State ID,State Name,Number of deaths among cancer patients (2012),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Alabama             ,3946,26.7384426132853,25.1532551243185,28.4235304675431,61.9419113395098,59.4898492436025,64.4950429220378,4.83400370201376,4.65382445038195,5.01418295364556,29.3960759789904,27.7350898172433,31.1565345076091,1.4033365754307,1.28856031953984,1.51811283132155,10.6678712890243,9.69518216318223,11.7381474554818,63.630463044897,61.1158749789987,66.2485128241935,10.3779745235117,10.0249631259604,10.7309859210629,8.87973776588501,7.97660650526778,9.88512379779694,52.4988664487569,50.2536968589911,54.8443428179613
2,Alaska              ,374,31.0826830114578,25.9184725472131,37.2758534065176,60.087828612331,52.7460303823742,68.451542631185,4.35220181142433,3.77895885510747,4.9254447677412,21.8940688579913,17.6273393862263,27.1935679375993,0.745123368947871,0.379961011762,1.11028572613374,6.55030341261789,4.38808030986191,9.77796023945236,30.580492090363,25.468050191378,36.7192026661447,4.86392829312877,3.74081730608043,5.98703928017712,3.6625173518142,2.168370267706,6.18622822500297,49.1127341416755,42.4080394952136,56.8774384192681
3,Arizona             ,3267,14.6353353509049,13.3700455128207,16.0203673673402,58.0763898378828,55.4853510896903,60.7884241581099,4.12993498797709,3.93295999812962,4.32690997782457,37.6717998732258,35.577447557421,39.8894412927706,1.70316706285577,1.57769172852021,1.82864239719134,10.7545466848859,9.64960679112347,11.9860090572585,76.5284436359516,73.5284454352175,79.6508432984755,11.2902616143622,10.9043436142653,11.676179614459,14.1281051270928,12.8802188754882,15.4968915056283,67.5387922671579,64.7182524391514,70.4822563803782
4,Arkansas            ,2618,22.1820213616167,20.4474745101473,24.0637087696594,63.4559663498464,60.4486494515455,66.6128970940953,4.66782101035629,4.4484727142793,4.88716930643328,24.5129837490501,22.6849384770356,26.4883403977261,0.964704041058602,0.824976653294763,1.10443142882244,9.76724480072773,8.63669253173039,11.0457875681988,64.7069492558617,61.641924733519,67.9243761466116,9.58538547304488,9.15563316889582,10.0151377771939,11.8272934420247,10.5650722393376,13.2403136481091,45.1375215242627,42.6048844175263,47.8207106346511
5,California          ,16096,29.4443909530295,28.527934810273,30.3902881284855,64.3392559170572,63.0179509822101,65.6882648109135,5.01632190247876,4.92237527136765,5.11026853358986,40.5677599235233,39.4837992323141,41.6814789156796,2.1692181223011,2.10937303761552,2.22906320698668,13.2418098018212,12.6185901054628,13.8958097031537,55.9958706121634,54.7810750543091,57.2376048207455,8.21662826607,8.03256583244681,8.40069069969319,9.63476877842388,9.13582806360799,10.1609584558043,59.7124033062896,58.4147023800755,61.038933065405
6,Colorado            ,1974,17.1280862099733,15.3819373683326,19.0724568818134,56.5152599029084,53.2801788793728,59.9467694942334,3.70994181905595,3.45859358375004,3.96129005436187,25.3172805142081,23.163860221232,27.6708927835609,0.936163383171813,0.776051666023939,1.09627510031969,7.99753515766335,6.80668513423596,9.39672797208663,71.5654673411648,67.9046028002732,75.4236959580408,11.2080640240264,10.7156166916405,11.7005113564124,12.0004641682358,10.5606928884812,13.6365238317068,56.3689917475375,53.0811553309292,59.8604761110486
7,Connecticut         ,3053,26.9928812071034,25.1454291374792,28.9760668580038,62.6192007072915,59.8172983005167,65.5523470404912,5.18338369917728,4.97991033954309,5.38685705881148,29.3339935849687,27.4167323331843,31.3853295566331,1.30137136379798,1.17175649315754,1.43098623443841,10.3507034848516,9.20193465425388,11.6428845299169,59.8345993989079,57.1292712626547,62.6680369992421,7.94061948305925,7.54196972511878,8.33926924099971,12.7245212006556,11.4969930740667,14.0831118835024,75.0462105573214,71.9444596591315,78.2816876476324
8,Delaware            ,916,17.960052282855,15.4223699767027,20.9152989125636,58.4154218604955,53.6568821891163,63.5959707668556,4.60604962986234,4.23854474848119,4.97355451124348,27.428977362009,24.2454028895542,31.0305752621558,1.31272004416569,1.07861520731834,1.54682488101304,9.82759000099223,8.00165555361123,12.0701927970411,75.7599181564632,70.2737806856077,81.6743477165657,11.4396276385302,10.7196034925293,12.159651784531,13.6290301345033,11.4166919810144,16.2700774196322,69.1769230120243,63.9504986670288,74.8304825944818
9,District of Columbia,449,30.5423946071011,25.9911920792344,35.8905380519721,62.7820530482723,55.9037937513301,70.5065957149338,5.86598164032026,5.33950931342719,6.39245396721333,28.8761485039501,24.4482176637377,34.1060425709046,1.59272669697038,1.25735776872988,1.92809562521088,14.2641104621185,11.4974414984672,17.6965325113976,58.228974694085,51.3170647158393,66.0718517845752,8.89208937805519,7.86061250041577,9.9235662556946,9.8295810879233,7.13786792687614,13.5363480179081,65.0592151260196,58.0662233611638,72.894382100363
