hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2012,percent_of_cancer_patients_dying_in_hospital_2012,percent_of_cancer_patients_dying_in_hospital_2012_2,percent_of_cancer_patients_dying_in_hospital_2012_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_3
HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
319,Wilmington,NC,462,19.841169362042,16.2348724161695,24.2485429858473,56.8577077488556,50.404279420942,64.1373900707151,4.32075711440813,3.80602105439721,4.83549317441905,20.8949527338113,17.1684604210776,25.4302971285764,0.760845444085694,0.434235526728363,1.08745536144302,7.90745238031745,5.79515902166379,10.7896613213275,70.5420185434927,63.2009680717389,78.7357619988043,12.8419573532908,11.8334374906451,13.8504772159364,7.68634398895951,5.51520320533289,10.7121862453748,65.9589140228994,58.9306895588451,73.8253424768767
320,Winston-Salem,NC,727,21.7598036170975,18.6423163178681,25.3986170699628,53.7088221536525,48.6369134124425,59.3096348995434,4.60114616326489,4.19031908473823,5.01197324179154,23.6651033063815,20.3957872780573,27.4584700686805,1.02540870478318,0.764731032107794,1.28608637745857,8.86833839172144,6.97291621923598,11.2789862028054,67.6012527527534,61.8391350699529,73.9002796299159,11.8709863005939,11.0660548007529,12.6759178004349,7.57239086964482,5.80948186580184,9.87026120525909,54.4114029354803,49.2909736863439,60.0637509870785
321,Bismarck,ND,224,27.7215417537087,21.6044102671974,35.5706944877559,60.7337126217743,51.3279670833183,71.8630418936476,4.75947663288066,4.02139785511594,5.49755541064538,12.5304084310832,8.64990803349588,18.1517693415643,0.419222517074619,,0.887547678913527,8.80016890189266,5.61029392733764,13.8037282368536,41.2319580455552,33.6429713361353,50.5328244430184,6.70128773080722,5.2551735658949,8.14740189571954,6.58693644161704,3.96945311213544,10.9304053884041,56.6420956990921,47.5546095042133,67.4661623475398
322,Fargo/Moorhead MN,ND,346,31.1111324240299,25.7058218091691,37.6530487097781,55.647001018433,48.3496061963311,64.0457899444165,4.1338978143722,3.53974504023374,4.72805058851067,16.0411571970874,12.312391524353,20.8991668038425,0.570296769298822,0.193295421355809,0.947298117241836,4.97482484859474,3.0463531908083,8.12410141702213,49.7379214148394,42.8618632869413,57.7170621376708,9.40604535616348,8.24192471120237,10.5701660011246,4.49889977979229,2.75512802178821,7.34633710976463,46.235692574909,39.470134726037,54.1609316187945
323,Grand Forks,ND,127,20.57313876005,14.0033282795607,30.225245740904,54.0361313521613,42.6715744338082,68.4273671700901,4.24225722029606,3.26247375775552,5.2220406828366,10.2164586989424,5.93121483514096,17.5977487324845,0.29219182403718,,0.913883251138009,,,,51.687502946528,40.6012501785309,65.8008792611028,9.39760654985936,7.4779215698661,11.3172915298526,,,,51.0723811856423,39.9660445215896,65.2651056964745
324,Minot,ND,114,33.2080057773644,24.2553869947034,45.4650197067678,66.5789823518886,53.3954831545386,83.0175256244742,4.07337349445792,3.0394590183341,5.10728797058173,18.8191632174075,12.3892379489509,28.5861733919973,0.433265974542368,,1.0893045695345,,,,34.3945625651055,25.1270896330972,47.0801016480131,4.44412674614859,2.41838313412027,6.46987035817691,10.0223512071464,5.68980859543761,17.6539372167867,33.9846364676481,24.5108656611088,47.1201438499481
325,Akron,OH,389,20.6636764447992,16.5884669485941,25.7400232063961,61.4253604385737,54.0366425848851,69.8243770249354,5.02240535816865,4.46156821345788,5.58324250287943,32.5669217221851,27.3538001171187,38.7735665946896,1.57177155155677,1.21590961042713,1.92763349268641,9.48182470983314,6.86386501127334,13.0983053542488,69.3696724485556,61.5356216617768,78.2010699764976,11.1918884730812,10.0930429790657,12.2907339670967,9.3656979885409,6.75095721467646,12.9931646762426,68.8044071411915,61.0933012106688,77.4887974333941
326,Canton,OH,377,18.6808699755513,14.7968905649525,23.5843403390457,59.5450739119342,52.2063219839122,67.9154495555216,4.39601314644027,3.82646260293516,4.96556368994538,35.0450938871666,29.5529298437232,41.5579305353094,1.79083189054285,1.42944113050735,2.15222265057835,8.75216012807445,6.2172932135026,12.3205234620586,67.8621695507622,60.0056242313467,76.7473735192079,10.1495550395096,9.03363742555156,11.2654726534676,13.4758154325259,10.2332672549,17.7458085524492,57.1859653631315,50.1030130245035,65.2702190368059
327,Cincinnati,OH,991,13.2914978870139,11.185650151006,15.7937995284616,59.7088553767419,55.0458216738012,64.766903317886,4.2356219657598,3.88311892650468,4.58812500501491,25.7504040503597,22.7560424879394,29.1387796937104,1.21291031023539,0.989240360792023,1.43658025967876,9.49865956735629,7.73398116480065,11.665988273564,78.0330705356392,72.6924881288649,83.7660156359697,11.3195164834328,10.6288589904952,12.0101739763704,15.3929078454989,13.1069538959389,18.0775498121983,59.6719150561063,55.0023036109555,64.7379693703216
328,Cleveland,OH,1654,16.8234423538246,14.9320666382315,18.9543898704419,61.4661261408343,57.7461481817989,65.4257432178268,4.62569551766571,4.35178334240705,4.89960769292436,32.2251540661634,29.5655787861442,35.1239717679616,1.53359938780478,1.35979685117562,1.70740192443394,10.5912764575176,9.11384444957063,12.3082128096723,72.8067579206158,68.7616709269359,77.0898078457642,10.5778840856579,10.0412092908845,11.1145588804313,13.832725600935,12.1129905031744,15.7966191338643,67.4053932287084,63.5370601951109,71.5092423597279
